"Text","Comment"
"“...früher war südlich von hier
 ein Dorf das von einem Wald
 umgeben war. Die Menschen
 dort waren alle glücklich...”",""
"Ein steinerner Pfahl.
Wenn man genau hinsieht,
steht etwas geschrieben.",""
"【REIANFSUND
 TINBSONGTO!】",""
"(...?)",""
"{x0d29} gefunden!",""
"{x0d50} gefunden!",""
"{x0d83} gefunden!",""
"{x0d21} gefunden",""
"...die Töne wurden vom See verschlungen...",""
"Rings herum liegen unzählige Steine
mit Eingravierungen zerstreut...",""
"Der schwarze Stein sagt...
[Der Schatz liegt in Richtung
 des Polarsterns.]",""
"Der weiße Stein sagt,
“Im Osten.”",""
"Der weiße Stein sagt,
“Im Westen.”",""
"Der weiße Stein sagt,
“Im Süden.”",""
"Der weiße Stein sagt,
“Im Norden.”",""
"Der rote Stein sagt,
“Der blaue lügt!”",""
"Der rote Stein sagt,
“Der Schatz liegt im Osten!”",""
"Der rote Stein sagt,
“Der Schatz liegt im Westen!”",""
"Der rote Stein sagt,
“Der Schatz liegt im Süden!”",""
"Der rote Stein sagt,
“Der Schatz liegt im Norden!”",""
"Der rote Stein sagt,
“Der Schatz ist nicht hier!”",""
"Der blaue Stein sagt,
“...ich weiß nicht, wo der Schatz ist.”",""
"Der blaue Stein sagt,
“...Man nennt uns
 [Die lügenden Steine].”",""
"Der blaue Stein sagt,
“...da ist einer, 
 der immer nur das selbe sagt.”",""
"Der blaue Stein sagt,
“...da ist einer, der nur lügt.”",""
"Der blaue Stein sagt,
“...Da ist einer, der
 immer das Gegenteil behauptet.”",""
"...hier liegen zwischen
 Grashalmen nur Trümmer...",""
"...hier ist sonst nichts.",""
"(...ist das......ein Teil eines Ganzen?)",""
"(...dieser Stein sieht dem anderen ähnlich...)",""
"(......das scheinen wohl alle zu sein...)",""
"“...die Steine scheinen komplett zu sein.”",""
"“Wenn dieser Affe nicht in der Nähe ist,
 muß er wohl den Zug nach Dollet
 genomme haben.”",""
"(Genau! Das hier ist [Edeas Haus]!
 Aber was ist das für ein komisches Gefühl?
 Irgend etwas riesiges ist in der Nähe...)",""
" ",""
